Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1039/17001-575,ARO ZANELLA V1 V3 025 YAMASIDA/KIM,0.00,7651.59,
1039/17002-575,ARO ZANELLA V1 V3 050 YAMASIDA/KIM,0.00,7651.59,
1039/17003-575,ARO ZANELLA V1 V3 075 YAMASIDA/KIM,0.00,7651.59,
1039/17004-575,ARO ZANELLA V1 V3 100 YAMASIDA/KIM,0.00,7651.59,
1039/17005-575,ARO ZANELLA V1 V3 125 YAMASIDA/KIM,0.00,7651.59,
1039/17007-055,ARO ZANELLA V1 V3 175 NSU,1.82,0.00,
1039/17008-575,ARO ZANELLA V1 V3 200 YAMASIDA/KIM,0.00,7651.59,
1043,AROS JUEGO 4T,,,
1043/00002-022,ARO BRAVA ELECTRA 150 STD NSU,2.45,0.00,
1043/00004-022,ARO BRAVA ELECTRA 150 0.25 NSU,2.45,0.00,
1043/00006-022,ARO BRAVA ELECTRA 150 0.50 NSU,2.45,0.00,
1043/00007-022,ARO BRAVA ELECTRA 150 0.75 NSU,2.45,0.00,
1043/00008-022,ARO BRAVA ELECTRA 150 1.00 NSU,2.45,0.00,
1043/00052-022,ARO BETA MOTARD - BRAVA 250 0.50 NSU,3.58,0.00,
1043/00063-022,ARO BAJAJ PULSAR 220 0.75 NSU,3.20,0.00,
1043/00064-022,ARO BAJAJ PULSAR 220 1.00 NSU,3.20,0.00,
1043/00070-022,ARO BAJAJ PULSAR/ROUSER 135 STD NSU,2.85,0.00,
1043/00071-022,ARO BAJAJ PULSAR/ROUSER 135 0.25 NSU,2.85,0.00,
1043/00072-022,ARO BAJAJ PULSAR/ROUSER 135 0.50 NSU,2.85,0.00,
1043/00073-022,ARO BAJAJ PULSAR/ROUSER 135 0.75 NSU,2.86,0.00,
1043/00074-022,ARO BAJAJ PULSAR/ROUSER 135 1.00 NSU,2.86,0.00,
1043/00080-022,ARO BAJAJ PULSAR 180 STD NSU,3.02,0.00,
1043/00081-022,ARO BAJAJ PULSAR 180 0.25 NSU,3.02,0.00,
1043/00082-022,ARO BAJAJ PULSAR 180 0.50 NSU,3.02,0.00,
1043/00083-022,ARO BAJAJ PULSAR 180 0.75 NSU,3.02,0.00,
1043/00084-022,ARO BAJAJ PULSAR 180 1.00 NSU,3.02,0.00,
1043/00090-022,ARO BAJAJ PULSAR/ROUSER NS200 STD NSU,3.72,0.00,
1043/00091-022,ARO BAJAJ PULSAR/ROUSER NS200 0.25 NSU,3.71,0.00,
1043/00092-022,ARO BAJAJ PULSAR/ROUSER NS200 0.50 NSU,3.71,0.00,
1043/00093-022,ARO BAJAJ PULSAR/ROUSER NS200 0.75 NSU,3.72,0.00,
1043/00094-022,ARO BAJAJ PULSAR/ROUSER NS200 1.00 NSU,3.72,0.00,
1043/13900-022,ARO GILERA C110 POTENCIADO STD NSU,2.22,0.00,
1043/13901-022,ARO GILERA C110 POTENCIADO 0.25 NSU,2.51,0.00,
1043/13902-022,ARO GILERA C110 POTENCIADO 0.50 NSU,2.51,0.00,
1043/13903-022,ARO GILERA C110 POTENCIADO 0.75 NSU,2.51,0.00,
1043/13904-022,ARO GILERA C110 POTENCIADO 1.00 NSU,2.51,0.00,
1043/14001-022,ARO GILERA 150 CADENERA 0.25 YAMASIDA,2.13,0.00,
1043/14003-022,ARO GILERA 150 CADENERA 0.75 YAMASIDA,2.13,0.00,
1043/14005-022,ARO GILERA 150 CADENERA 1.25 YAMASIDA,2.13,0.00,
1043/14100-575,"ARO GILERA FUTURA 4T DIAM.52,50 STD YAMASIDA/KIM",0.00,12615.65,
1043/14101-575,"ARO GILERA FUTURA 4T DIAM.52,50 0.25 YAMASIDA/KIM",0.00,12615.65,
1043/14102-575,"ARO GILERA FUTURA 4T DIAM.52,50 0.50 YAMASIDA/KIM",0.00,12615.65,
1043/14103-575,"ARO GILERA FUTURA 4T DIAM.52,50 0.75 YAMASIDA/KIM",0.00,12615.65,
